
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f pm-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	number
Parcel Map	5	76	600
Parcel Map	5	77	601
Parcel Map	5	78	602
Parcel Map	5	79	603
Parcel Map	5	80	604
Parcel Map	5	81	605
Parcel Map	5	82	606
Parcel Map	5	83	607
Parcel Map	5	84	608
Parcel Map	5	85	609
Parcel Map	5	87	610
Parcel Map	5	89	611
Parcel Map	5	91	612
Parcel Map	5	92	613
Parcel Map	5	93	614
Parcel Map	5	94	615
Parcel Map	5	95	616
Parcel Map	5	96	617
Parcel Map	5	97	618
Parcel Map	5	98	619
Parcel Map	5	99	620
Parcel Map	5	100	621
Parcel Map	5	102	622
Parcel Map	5	104	623
Parcel Map	5	105	624
Parcel Map	5	106	625
Parcel Map	5	107	626
Parcel Map	5	109	627
Parcel Map	5	110	628
Parcel Map	5	111	629
Parcel Map	5	112	630
Parcel Map	5	114	631
Parcel Map	5	115	632
Parcel Map	5	116	633
Parcel Map	5	117	634
Parcel Map	5	118	635
Parcel Map	5	119	636
Parcel Map	5	120	637
Parcel Map	5	123	638
Parcel Map	5	124	639
Parcel Map	5	125	640
Parcel Map	5	126	641
Parcel Map	5	127	642
Parcel Map	5	128	643
Parcel Map	5	130	644
Parcel Map	5	131	645
Parcel Map	5	133	646
Parcel Map	5	135	647
Parcel Map	5	136	648
Parcel Map	5	137	649
Parcel Map	5	138	650
Parcel Map	5	140	651
Parcel Map	5	141	652
Parcel Map	5	142	653
Parcel Map	5	143	654
Parcel Map	5	145	655
Parcel Map	5	146	656
Parcel Map	5	147	657
Parcel Map	5	149	658
Parcel Map	5	150	659
Parcel Map	5	152	660
Parcel Map	5	153	661
Parcel Map	5	154	662
Parcel Map	6	1	663
Parcel Map	6	2	664
Parcel Map	6	3	665
Parcel Map	6	4	666
Parcel Map	6	5	667
Parcel Map	6	6	668
Parcel Map	6	7	669
Parcel Map	6	8	670
Parcel Map	6	9	671
Parcel Map	6	10	672
Parcel Map	6	11	673
Parcel Map	6	12	674
Parcel Map	6	13	675
Parcel Map	6	14	676
Parcel Map	6	15	303 AMENDED
Parcel Map	6	16	677
Parcel Map	6	18	678
Parcel Map	6	20	679
Parcel Map	6	21	680
Parcel Map	6	22	681
Parcel Map	6	23	682
Parcel Map	6	24	683
