
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f tr-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	tract
Record Map	21	110	457
Record Map	21	112	458
Record Map	21	114	459
Record Map	21	116	460
Record Map	21	118	461
Record Map	21	120	462
Record Map	21	122	463
Record Map	21	124	464
Record Map	21	126	465
Record Map	21	129	466
Record Map	21	131	467
Record Map	21	133	468
Record Map	21	135	469
Record Map	21	137	470
Record Map	21	139	471
Record Map	21	141	472
Record Map	21	144	473
Record Map	21	146	474
Record Map	21	149	475
Record Map	22	1	476
Record Map	22	3	477
Record Map	22	6	478
Record Map	22	8	479
Record Map	22	11	480
Record Map	22	14	481
Record Map	22	17	482
Record Map	22	19	483
Record Map	22	22	484
Record Map	22	24	485
Record Map	22	26	486
Record Map	22	28	487
Record Map	22	30	488
Record Map	22	34	489
Record Map	22	36	490
Record Map	22	39	491
Record Map	22	42	492
Record Map	22	44	493
Record Map	22	46	494
Record Map	22	50	495
Record Map	22	52	496
Record Map	22	55	497
Record Map	22	59	498
Record Map	22	62	499
Record Map	22	64	500
Record Map	22	67	501
Record Map	22	69	502
Record Map	22	71	503
Record Map	22	73	504
Record Map	22	77	505
Record Map	22	79	506
Record Map	22	81	507
Record Map	22	86	508
Record Map	22	89	509
Record Map	22	91	510
Record Map	22	93	511
Record Map	22	95	512
Record Map	22	97	513
Record Map	22	99	514
Record Map	22	102	515
Record Map	22	105	516
Record Map	22	108	517
Record Map	22	110	518
Record Map	22	112	519
Record Map	22	116	520
Record Map	22	118	521
Record Map	22	120	522
Record Map	22	123	523
Record Map	22	127	524
Record Map	22	131	525
Record Map	22	137	526
Record Map	22	140	527
Record Map	22	143	528
Record Map	22	145	529
Record Map	22	147	530
Record Map	23	1	531
Record Map	23	3	532
Record Map	23	6	533
Record Map	23	10	534
Record Map	23	12	535
Record Map	23	14	536
Record Map	23	17	537
Record Map	23	22	538
Record Map	23	24	539
Record Map	23	26	540
Record Map	23	28	541
Record Map	23	31	542
Record Map	23	34	543
Record Map	23	36	544
Record Map	23	39	545
Record Map	23	41	546
Record Map	23	43	547
Record Map	23	45	548
Record Map	23	47	549
Record Map	23	50	550
Record Map	23	52	551
Record Map	23	59	552
Record Map	23	62	553
Record Map	23	64	554
Record Map	23	67	555
Record Map	23	69	556
Record Map	23	75	557
Record Map	23	77	558
Record Map	23	80	559
Record Map	23	82	560
Record Map	23	86	561
Record Map	23	90	562
Record Map	23	92	563
Record Map	23	96	564
Record Map	23	101	565
Record Map	23	104	566
Record Map	23	108	567
Record Map	23	111	568
Record Map	23	113	569
Record Map	23	115	570
Record Map	23	119	571
Record Map	23	123	572
Record Map	23	126	573
Record Map	23	129	574
Record Map	23	132	575
Record Map	23	135	576
Record Map	23	138	577
Record Map	23	142	578
Record Map	23	145	579
Record Map	23	147	580
Record Map	23	150	581
Record Map	24	1	582
Record Map	24	4	583
Record Map	24	8	584
Record Map	24	11	585
Record Map	24	13	586
Record Map	24	15	587
Record Map	24	17	588
Record Map	24	19	589
Record Map	24	21	590
